ID                                                                                                   ,brand        ,c__productCategory     ,manufacturerSKU            ,name__default                                                                                                                    ,mainImageName(.png)        ,imageSize(pixels) ,duplicatedManufacturerSku ,comment
duravent-pellet-vent-pro-4-replacement-gasket-4pvpga                                                 ,DuraVent     ,Venting Components     ,4PVP-GA                    ,"DuraVent Pellet Vent Pro 4"" Diameter Replacement Gasket | 4PVP-GA |"                                                           ,4pvp-ga                    ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-12-length-round-adjustable-pipe-7gv12a                                               ,DuraVent     ,Venting Components     ,7GV12A                     ,"DuraVent Type B 12"" Length Round Adjustable Pipe | 7GV12A |"                                                                   ,7gv12a                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-45-adjustable-elbow-7gvl45                                                           ,DuraVent     ,Venting Components     ,7GVL45                     ,DuraVent Type B 45 Degree Adjustable Elbow | 7GVL45 |                                                                            ,7gvl45                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-6-fha-flashing-6gvfha                                                                ,DuraVent     ,Venting Components     ,6GVFHA                     ,"DuraVent Type B 6"" FHA Flashing | 6GVFHA |"                                                                                    ,6gvfha                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-6-dsa-roof-flashing-6gvfdsa                                                          ,DuraVent     ,Venting Components     ,6GVFDSA                    ,"DuraVent Type B 6"" DSA Roof Flashing | 6GVFDSA |"                                                                              ,6gvfdsa                    ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-7-x-3-x-5-doublewall-wye-45-br-7gvy35                                                ,DuraVent     ,Venting Components     ,7GVY35                     ,"DuraVent Type B 7"" x 3"" x 5"" Double-Wall WYE - 45 Degree Branch | 7GVY35 |"                                                  ,7gvy35                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-90-adjustable-elbow-7gvl90                                                           ,DuraVent     ,Venting Components     ,7GVL90                     ,DuraVent Type B 90 Degree Adjustable Elbow | 7GVL90 |                                                                            ,7gvl90                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-attic-insulation-shield-7-8-7gvis                                                    ,DuraVent     ,Venting Components     ,7GVIS                      ,"DuraVent Type B Attic Insulation Shield 7"" - 8"" | 7GVIS |"                                                                    ,7gvis                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-duracap-6gvdc                                                                        ,DuraVent     ,Venting Components     ,6GVDC                      ,DuraVent Type B DuraCap | 6GVDC |                                                                                                ,6gvdc                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-firestop-spacer-7gvfs                                                                ,DuraVent     ,Venting Components     ,7GVFS                      ,DuraVent Type B Firestop Spacer | 7GVFS |                                                                                        ,7gvfs                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-highwind-cap-6gvvth                                                                  ,DuraVent     ,Venting Components     ,6GVVTH                     ,DuraVent Type B High-Wind Cap | 6GVVTH |                                                                                         ,6gvvth                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-increaser-7-x-8-7gvx8                                                                ,DuraVent     ,Venting Components     ,7GVX8                      ,"DuraVent Type B Increaser 7"" x 8"" | 7GVX8 |"                                                                                  ,7gvx8                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-increaser-tee-6-x-5-6gvtr5                                                           ,DuraVent     ,Venting Components     ,6GVTR5                     ,"DuraVent Type B Increaser Tee 6"" x 5"" | 6GVTR5 |"                                                                             ,6gvtr5                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-round-bucket-support-7-8-7gvrs8                                                      ,DuraVent     ,Venting Components     ,7GVRS8                     ,"DuraVent Type B Round Bucket Support 7"" - 8"" | 7GVRS8 |"                                                                      ,7gvrs8                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-standard-tee-7gvt                                                                    ,DuraVent     ,Venting Components     ,7GVT                       ,DuraVent Type B Standard Tee | 7GVT |                                                                                            ,7gvt                       ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-square-firestop-support-7gvrs                                                        ,DuraVent     ,Venting Components     ,7GVRS                      ,DuraVent Type B Square Firestop Support | 7GVRS |                                                                                ,7gvrs                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-steep-roof-flashing-6gvfsr                                                           ,DuraVent     ,Venting Components     ,6GVFSR                     ,DuraVent Type B Steep Roof Flashing | 6GVFSR |                                                                                   ,6gvfsr                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-storm-collar-7gvsc                                                                   ,DuraVent     ,Venting Components     ,7GVSC                      ,DuraVent Type B Storm Collar | 7GVSC |                                                                                           ,7gvsc                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-tall-cone-flat-flashing-6gvff                                                        ,DuraVent     ,Venting Components     ,6GVFF                      ,DuraVent Type B Tall Cone Flat Flashing | 6GVFF |                                                                                ,6gvff                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-tee-cap-7gvtc                                                                        ,DuraVent     ,Venting Components     ,7GVTC                      ,DuraVent Type B Tee Cap | 7GVTC |                                                                                                ,7gvtc                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-universal-bvent-to-aluminum-flex-adapter-7dfaadbv                                    ,DuraVent     ,Venting Components     ,7DFA-ADBV                  ,DuraVent Type B Universal B-Vent to Aluminum Flex Adapter | 7DFA-ADBV |                                                          ,7dfa-adbv                  ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-wall-strap-7gvws                                                                     ,DuraVent     ,Venting Components     ,7GVWS                      ,DuraVent Type B Wall Strap | 7GVWS |                                                                                             ,7gvws                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
duravent-type-b-wall-thimble-7gvwt                                                                   ,DuraVent     ,Venting Components     ,7GVWT                      ,DuraVent Type B Wall Thimble | 7GVWT |                                                                                           ,7gvwt                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
empire-3-5-inch-brushed-nickel-front-dfq274nb                                                        ,Empire       ,Decorative Fronts      ,DFQ274NB                   ,Empire 3.5 Inch Brushed Nickel Front | DFQ274NB |                                                                                ,dfq274nb                   ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
empire-propane-to-natural-gas-ip-conversion-kit-32944                                                ,Empire       ,Conversion Kits        ,32944                      ,Empire Electronic Ignition with Propane to Natural Gas Conversion Kit | 32944 |                                                  ,32944                      ,1000x1000         ,FALSE                     ,manufacturerSKU found but has NO images
majestic-18-campfire-fiber-gas-log-set-natural-gas-cfl-18ng-c                                        ,Majestic     ,Gas Log Sets           ,CFL-18NG-C                 ,"Majestic 18"" Campfire Fiber Gas Log Set (Natural Gas) | CFL-18NG-C |"                                                          ,cfl-18ng-c                 ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-18-fireside-supreme-oak-gas-log-set-for-See-Thru-fireplace-stfso18                          ,Majestic     ,Media Kits             ,STFSO18                    ,                                                                                                                                 ,stfso18                    ,1000x1000         ,TRUE                      ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-24-campfire-fiber-gas-log-set-with-ipi-ignition-natural-gas-cfl-24ng-ipi                    ,Majestic     ,Gas Log Sets           ,CFL-24NG-IPI               ,"Majestic 24"" Campfire Fiber Gas Log Set with IPI Ignition (Natural Gas) | CFL-24NG-IPI |"                                      ,cfl-24ng-ipi               ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-24-campfire-fiber-gas-log-set-propane-gas-cfl-24lp-c                                        ,Majestic     ,Gas Log Sets           ,CFL-24LP-C                 ,"Majestic 24"" Campfire Fiber Gas Log Set (Propane Gas) | CFL-24LP-C |"                                                          ,cfl-24lp-c                 ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-18-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso18                       ,Majestic     ,Gas Log Sets           ,STFSO18                    ,"Majestic 18"" Fireside Supreme Oak Gas Log Set For See-Through Fireplace | STFSO18 |"                                           ,stfso18                    ,1000x1000         ,TRUE                      ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-18-campfire-fiber-gas-log-set-propane-gas-cfl-18lp-c                                        ,Majestic     ,Gas Log Sets           ,CFL-18LP-C                 ,"Majestic 18"" Campfire Fiber Gas Log Set (Propane Gas) | CFL-18LP-C |"                                                          ,cfl-18lp-c                 ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-18-fireside-versawood-refractory-cement-log-set-fvw18                                       ,Majestic     ,Media Kits             ,FVW18                      ,"Majestic 18"" Fireside Versawood Refractory Cement Log Set | FVW18 |"                                                           ,fvw18                      ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-24-campfire-fiber-gas-log-set-with-ipi-ignition-propane-gas-cfl-24lp-ipi                    ,Majestic     ,Gas Log Sets           ,CFL-24LP-IPI               ,"Majestic 24"" Campfire Fiber Gas Log Set with IPI Ignition (Propane Gas) | CFL-24LP-IPI |"                                      ,cfl-24lp-ipi               ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-24-fireside-supreme-oak-gas-log-set-for-See-Thru-fireplace-stfso24                          ,Majestic     ,Media Kits             ,STFSO24                    ,                                                                                                                                 ,stfso24                    ,1000x1000         ,TRUE                      ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
majestic-18-fireside-realwood-refractory-cement-log-set-frw118                                       ,Majestic     ,Media Kits             ,FRW118                     ,"Majestic 18"" Fireside Realwood Refractory Cement Log Set | FRW118 |"                                                           ,frw118                     ,1000x1000         ,FALSE                     ,manufacturerSKU not found through either quick-search API or direct link with 'ID' field
